sku,title,description,price,availability,imageURL,linkURL
78382,Classic Little Elf,This classic glass elf is dressed up in his cute red pajamas and a green hat.,10.99,TRUE,https://www.katandannie.com/img/product/78382_1-Z.jpg?fv=F4BAA4C4F3EFF9E73B1DD45A4DFEEB4D-41139,https://www.katandannie.com/classic-little-elf-78382
73185,Cozy Red Sweater,Our favorite red sweater with attached holiday lights is a classic look that will never go out of style.,10.99,TRUE,https://www.katandannie.com/img/product/73185.frt-Z.jpg?fv=4FC7942037389ED5998D26C35AA2EC79-84866,https://www.katandannie.com/cozy-red-sweater-73185
81839,Creamsicle®,The iconic Creamsicle® ice cream bar can be enjoyed all season long with our officially licensed Popsicle glass ornament just in time to adorn your holiday tree!,16.99,TRUE,https://www.katandannie.com/img/product/81839.frt-Z.jpg?fv=DEC30B08F4FC47BBE9ACEB6CCD199019-31438,https://www.katandannie.com/creamsicle-81839
71865,Cruisin' Santa,"Vroom, Vroom...Santa is hitting the rode with his snazzy car heaped with presents! The solid paint and accenting glitter creates a cheerful contrast against the sky blue finish of this shiny glass round.",6.99,TRUE,https://www.katandannie.com/img/product/71865_1-Z.jpg?fv=FD45C9016A4179A2E2B43B931F2DF88A-65383,https://www.katandannie.com/cruisin-santa-71865
71941,Dark Blue Finial,"With a mysterious glow, this dark blue glass finial with modernize you tree with its contemporary edge.",12.99,TRUE,https://www.katandannie.com/img/product/71941_1-Z.jpg?fv=8FBFB89F24111CD8E877773F5904BA1C-23910,https://www.katandannie.com/dark-blue-finial-71941
73289,Dark Blue Geometric Round,"This minimal design embellished with fine liens of gold foil is so elegant and subtle, it is sure to stay in your collection for years. ",8.99,TRUE,https://www.katandannie.com/img/product/73289.frt-Z.jpg?fv=0A3C90A98C9D83FEE0565F12F77D3497-72271,https://www.katandannie.com/dark-blue-geometric-round-73289
71751,Dark Red Shiny Finial,The the mercury finish of this deep crimson glass finial ornament provides an exquisite antiqued appearance.,6.99,TRUE,https://www.katandannie.com/img/product/71751_1-Z.jpg?fv=E6EB95DAB09D3FABC20E12A3A08CBD21-41005,https://www.katandannie.com/dark-red-shiny-finial-71751
71639,Dark Silver Owl,"With a dark antiqued mercury finish, this enchanting glass owl is detailed with twinkling, silver glitter paint.",7.99,TRUE,https://www.katandannie.com/img/product/73872_1-T.jpg?fv=7046EADA3B17E7937FDA9F93211C8951-2973,https://www.katandannie.com/dark-silver-owl-71639
73871,Dark Silver Striped Round,"A silver glittered stripe on this modern, simplistic ornament gives it just the right amount of dazzle for your tree.",6.99,TRUE,https://www.katandannie.com/img/product/73871_1-Z.jpg?fv=B47070D76BBBB12362E26C4CB59D015B-50255,https://www.katandannie.com/dark-silver-striped-round-73871
73281,Deep Blue Dimpled Round,This dimpled blue glass round is the perfect addition to any tree. The iridescent translucent color will reflect the lights on your tree with a stunning effect.,9.99,TRUE,https://www.katandannie.com/img/product/73281.frt-Z.jpg?fv=2E56ACC086611BCBAA31546FF20E5063-136473,https://www.katandannie.com/deep-blue-dimpled-round-73281
71948,Detailed Gold & Blue Round,An ornate pattern made of shimmering gold glitter encircles this luxuriant blue glass round for a great addition to any traditional styled tree.,6.99,TRUE,https://www.katandannie.com/img/product/71948_1-Z.jpg?fv=14063D3EBC05BBC5A8A2AE53B654E290-86294,https://www.katandannie.com/detailed-gold-blue-round-71948
78447,Dia de Los Muertos Rose Skull,"It's Dia de los Muertos ever day with this black glass skull. Accented a pink floral crown, you will be sure to add the pretty to the spooky every  year.",11.99,TRUE,https://www.katandannie.com/img/product/78447_1-Z.jpg?fv=532CEFB91C7DF75F9226D0B52F3DB9EC-75149,https://www.katandannie.com/dia-de-los-muertos-rose-skull-78447
78445,Dia de Los Muertos Skull,"It's Dia de los Muertos ever day with this black glass skull. Accented with purple and blue glitters, you will be sure to add the pretty to the spooky every  year.",11.99,FALSE,https://www.katandannie.com/img/product/78445_1-Z.jpg?fv=B4EDF4CBD55E8FE6F2CB029F37541091-76724,https://www.katandannie.com/dia-de-los-muertos-skull-78445
71903,Dimple Pink Round,"This dimpled pink glass round is the perfect addition to an tree, whether it is classic or contemporary. The unique dimpled round shape will reflect the lights on your tree with a stunning effect.",6.99,TRUE,https://www.katandannie.com/img/product/71903_1-Z.jpg?fv=D63CE847777F461EA41C096C743E4526-63878,https://www.katandannie.com/dimple-pink-round-71903
73353,Dimpled Tulip with Pine Branch,The beautiful faux pine branch encased inside this dimpled tulip glass bauble adds a sophisticated outdoor feel to your Christmas décor. ,8.99,TRUE,https://www.katandannie.com/img/product/73353.frt-Z.jpg?fv=866CA0D76C9B9AC35656A86804F4A274-81378,https://www.katandannie.com/dimpled-tulip-with-pine-branch-73353
78308,Divetted Golden Round,This shiny gold molded round is washed with a black finish to give it a classic look.,8.99,TRUE,https://www.katandannie.com/img/product/78308_1-Z.jpg?fv=2D64CAF654E59FF875394810E27CA08B-91200,https://www.katandannie.com/divetted-golden-round-78308
78490,Dots Box,Each year there four billion dots produced from the Tootsie Roll Industries plant in Chicago. It's no wonder this is America's favorite sweet treat since 1945. This officially licensed Tootsie Roll glass ornament will add a sweetest touch to any holiday décor!,8.99,TRUE,https://www.katandannie.com/img/product/78490.frt-Z.jpg?fv=EE2A636E01E08DCD2F548FAD62DB197E-68549,https://www.katandannie.com/dots-box-78490
